;
;
;
;
;
;
;
;
;
;
;
;
?l (mm);Força (N)
0,00;0,00
0,01;1,50
0,01;6,00
0,02;6,00
0,02;16,50
0,03;18,00
0,03;28,50
0,03;39,00
0,04;47,25
0,05;59,25
0,05;69,75
0,05;74,25
0,06;86,25
0,06;96,75
0,07;102,75
0,07;113,25
0,07;126,00
0,08;132,00
0,09;142,50
0,09;152,25
0,09;160,50
0,09;171,00
0,10;175,50
0,10;187,50
0,11;193,50
0,11;206,25
0,11;218,25
0,12;225,00
0,13;237,00
0,13;247,50
0,13;255,75
0,14;267,75
0,14;280,50
0,15;286,50
0,15;299,25
0,15;300,75
0,15;313,50
0,16;315,75
0,16;325,50
0,17;332,25
0,17;344,25
0,17;346,50
0,17;357,00
0,18;363,00
0,18;375,00
0,19;377,25
0,19;387,75
0,19;393,75
0,19;406,50
0,20;408,75
0,20;418,50
0,21;425,25
0,21;437,25
0,21;439,50
0,21;450,00
0,22;456,00
0,22;468,00
0,23;470,25
0,23;480,75
0,23;486,75
0,23;497,25
0,24;501,00
0,24;511,50
0,25;517,50
0,25;530,25
0,25;532,50
0,25;542,25
0,26;549,00
0,26;558,75
0,27;563,25
0,27;573,75
0,27;577,50
0,27;588,00
0,28;591,75
0,28;604,50
0,29;606,75
0,29;618,75
0,29;621,00
0,29;633,00
0,30;635,25
0,30;648,00
0,31;649,50
0,31;662,25
0,31;664,50
0,31;674,25
0,32;678,75
0,32;689,25
0,33;693,00
0,33;703,50
0,33;708,00
0,33;717,75
0,34;722,25
0,34;734,25
0,35;736,50
0,35;747,00
0,35;750,75
0,35;763,50
0,36;765,75
0,36;777,75
0,37;780,00
0,37;790,50
0,37;792,00
0,37;802,50
0,38;807,00
0,38;816,75
0,39;821,25
0,39;833,25
0,39;843,75
0,40;848,25
0,40;860,25
0,41;862,50
0,41;873,00
0,41;876,75
0,41;887,25
0,42;891,00
0,42;901,50
0,43;906,00
0,43;915,75
0,43;918,00
0,43;928,50
0,44;932,25
0,44;945,00
0,45;947,25
0,45;957,00
0,45;961,50
0,45;972,00
0,46;973,50
0,46;986,25
0,47;988,50
0,47;998,25
0,47;1002,75
0,47;1013,25
0,48;1014,75
0,48;1025,25
0,49;1029,75
0,49;1040,25
0,49;1044,00
0,49;1056,75
0,50;1058,25
0,50;1068,75
0,51;1073,25
0,51;1083,00
0,51;1085,25
0,51;1098,00
0,52;1099,50
0,52;1110,00
0,53;1114,50
0,53;1124,25
0,53;1126,50
0,53;1139,25
0,54;1140,75
0,54;1151,25
0,55;1153,50
0,55;1165,50
0,55;1167,75
0,55;1180,50
0,56;1182,00
0,56;1192,50
0,57;1194,75
0,57;1206,75
0,57;1209,00
0,57;1219,50
0,58;1221,75
0,58;1231,50
0,59;1236,00
0,59;1246,50
0,59;1248,00
0,59;1258,50
0,60;1260,75
0,61;1272,75
0,61;1283,25
0,61;1285,50
0,61;1296,00
0,62;1297,50
0,62;1308,00
0,63;1312,50
0,63;1322,25
0,63;1324,50
0,63;1335,00
0,64;1337,25
0,64;1347,75
0,65;1351,50
0,65;1362,00
0,65;1364,25
0,65;1374,00
0,66;1376,25
0,66;1389,00
0,67;1390,50
0,67;1401,00
